State,City,ICAO,Coordinates,X,Y,X',Y'
PR,San Juan,TJUA,18.1155998°N 66.0780644°W,18.1155998°N,66.0780644°W,18.1155998,66.0780644
ME,Houlton,KCBW,46.0391944°N 67.8066033°W,46.0391944°N,67.8066033°W,46.0391944,67.8066033
ME,Gray/Portland,KGYX,43.8913555°N 70.2565545°W,43.8913555°N,70.2565545°W,43.8913555,70.2565545
VT,Burlington,KCXX,44.5109941°N 73.166424°W,44.5109941°,73.166424°W,44.510994,73.166424
MA,Boston,KBOX,41.9558919°N 71.1369681°W,41.9558919°N,71.1369681°W,41.9558919,71.1369681
NY,Albany,KENX,42.5865699°N 74.0639877°W,42.5865699°N,74.0639877°W,42.5865699,74.0639877
NY,Binghamton,KBGM,42.1997045°N 75.9847015°W,42.1997045°N,75.9847015°W,42.1997045,75.9847015
NY,Buffalo,KBUF,42.9488055°N 78.7369108°W,42.9488055°N,78.7369108°W,42.9488055,78.7369108
NY,Montague,KTYX,43.7556319°N 75.6799918°W,43.7556319°N,75.6799918°W,43.7556319,75.6799918
NY,New York City,KOKX,40.8655093°N 72.8638548°W,40.8655093°N,72.8638548°W,40.8655093,72.8638548
DE,Dover AFB,KDOX,38.8257651°N 75.4400763°W,38.8257651°N,75.4400763°W,38.8257651,75.4400763
PA,Philadelphia,KDIX,39.9470885°N 74.4108027°W,39.9470885°N,74.4108027°W,39.9470885,74.4108027
PA,Pittsburgh,KPBZ,40.5316842°N 80.2179515°W,40.5316842°N,80.2179515°W,40.5316842,80.2179515
PA,State College,KCCX,40.9228521°N 78.0038738°W,40.9228521°N,78.0038738°W,40.9228521,78.0038738
WV,Charleston,KRLX,38.3110763°N 81.7229015°W,38.3110763°N,81.7229015°W,38.3110763,81.7229015
VA,Norfolk/Richmond,KAKQ,36.9840475°N 77.007342°W,36.9840475°,77.007342°W,36.984047,77.007342
VA,Roanoke,KFCX,37.0242098°N 80.2736664°W,37.0242098°N,80.2736664°W,37.0242098,80.2736664
VA,Sterling,KLWX,38.9753957°N 77.4778444°W,38.9753957°N,77.4778444°W,38.9753957,77.4778444
NC,Morehead City,KMHX,34.7759313°N 76.8762571°W,34.7759313°N,76.8762571°W,34.7759313,76.8762571
NC,Raleigh/Durham,KRAX,35.6654967°N 78.4897855°W,35.6654967°N,78.4897855°W,35.6654967,78.4897855
NC,Wilmington,KLTX,33.9891631°N 78.4291059°W,33.9891631°N,78.4291059°W,33.9891631,78.4291059
SC,Charleston,KCLX,32.6554866°N 81.0423124°W,32.6554866°N,81.0423124°W,32.6554866,81.0423124
SC,Columbia,KCAE,33.9487579°N 81.1184281°W,33.9487579°N,81.1184281°W,33.9487579,81.1184281
SC,Greer,KGSP,34.8833435°N 82.2200757°W,34.8833435°N,82.2200757°W,34.8833435,82.2200757
GA,Atlanta,KFFC,33.3635771°N 84.565866°W,33.3635771°,84.565866°W,33.363577,84.565866
GA,Moody AFB,KVAX,30.8903853°N 83.0019021°W,30.8903853°N,83.0019021°W,30.8903853,83.0019021
GA,Robins AFB,KJGX,32.6755239°N 83.3508575°W,32.6755239°N,83.3508575°W,32.6755239,83.3508575
FL,Eglin AFB,KEVX,30.5649908°N 85.921559°W,30.5649908°,85.921559°W,30.564990,85.921559
FL,Jacksonville,KJAX,30.4846878°N 81.7018917°W,30.4846878°N,81.7018917°W,30.4846878,81.7018917
FL,Key West,KBYX,24.5974996°N 81.7032355°W,24.5974996°N,81.7032355°W,24.5974996,81.7032355
FL,Melbourne,KMLB,28.1131808°N 80.6540988°W,28.1131808°N,80.6540988°W,28.1131808,80.6540988
FL,Miami,KAMX,25.6111275°N 80.412747°W,25.6111275°,80.412747°W,25.611127,80.412747
FL,Tallahassee,KTLH,30.397568°N 84.3289116°W,30.397568°N ,84.3289116°W,30.397568,84.3289116
FL,Tampa,KTBW,27.7054701°N 82.40179°W,27.7054701,82.40179°W,27.70547,82.40179
AL,Birmingham,KBMX,33.1722806°N 86.7698425°W,33.1722806°N,86.7698425°W,33.1722806,86.7698425
AL,Fort Rucker,KEOX,31.4605622°N 85.4592401°W,31.4605622°N,85.4592401°W,31.4605622,85.4592401
AL,Huntsville,KHTX,34.930508°N 86.0837388°W,34.930508°N ,86.0837388°W,34.930508,86.0837388
AL,Maxwell AFB,KMXX,32.5366608°N 85.7897848°W,32.5366608°N,85.7897848°W,32.5366608,85.7897848
AL,Mobile,KMOB,30.6795378°N 88.2397816°W,30.6795378°N,88.2397816°W,30.6795378,88.2397816
MS,Brandon/Jackson,KDGX,32.2797358°N 89.9846309°W,32.2797358°N,89.9846309°W,32.2797358,89.9846309
MS,Columbus AFB,KGWX,33.8967796°N 88.3293915°W,33.8967796°N,88.3293915°W,33.8967796,88.3293915
TN,Knoxville/Tri Cities,KMRX,36.168538°N 83.401779°W,36.168538°N,83.401779°W,36.168538,83.401779
TN,Memphis,KNQA,35.3447802°N 89.8734534°W,35.3447802°N,89.8734534°W,35.3447802,89.8734534
TN,Nashville,KOHX,36.2472389°N 86.5625185°W,36.2472389°N,86.5625185°W,36.2472389,86.5625185
KY,Fort Campbell,KHPX,36.7368894°N 87.2854328°W,36.7368894°N,87.2854328°W,36.7368894,87.2854328
KY,Jackson,KJKL,37.590762°N 83.313039°W,37.590762°N,83.313039°W,37.590762,83.313039
KY,Louisville,KLVX,37.9753058°N 85.9438455°W,37.9753058°N,85.9438455°W,37.9753058,85.9438455
KY,Paducah,KPAH,37.0683618°N 88.7720257°W,37.0683618°N,88.7720257°W,37.0683618,88.7720257
OH,Wilmington,KILN,39.42028°N 83.82167°W,39.42028°N,83.82167°W,39.42028,83.82167
OH,Cleveland,KCLE,41.4131875°N 81.8597451°W,41.4131875°N,81.8597451°W,41.4131875,81.8597451
MI,Detroit/Pontiac,KDTX,42.6999677°N 83.471809°W,42.6999677°,83.471809°W,42.699967,83.471809
MI,Gaylord,KAPX,44.907106°N 84.719817°W,44.907106°N,84.719817°W,44.907106,84.719817
MI,Grand Rapids,KGRR,42.893872°N 85.5449206°W,42.893872°N ,85.5449206°W,42.893872,85.5449206
MI,Marquette,KMQT,46.5311443°N 87.5487131°W,46.5311443°N,87.5487131°W,46.5311443,87.5487131
IN,Owensville (Evansville),KVWX,38.2603901°N 87.7246553°W,38.2603901°N,87.7246553°W,38.2603901,87.7246553
IN,Indianapolis,KIND,39.7074962°N 86.2803675°W,39.7074962°N,86.2803675°W,39.7074962,86.2803675
IN,North Webster,KIWX,41.3586356°N 85.7000488°W,41.3586356°N,85.7000488°W,41.3586356,85.7000488
IL,Chicago,KLOT,41.6044264°N 88.084361°W,41.6044264°,88.084361°W,41.604426,88.084361
IL,Lincoln,KILX,40.150544°N 89.336842°W,40.150544°N,89.336842°W,40.150544,89.336842
WI,Green Bay,KGRB,44.4984644°N 88.111124°W,44.4984644°,88.111124°W,44.498464,88.111124
WI,La Crosse,KARX,43.822766°N 91.1915767°W,43.822766°N ,91.1915767°W,43.822766,91.1915767
